date,Aldrich,Maurer
09:00:00 9/22/16, 10, 23
10:00:00 9/22/16, 91, 2
11:00:00 9/22/16, 86, 2
12:00:00 9/22/16, 94, 2
13:00:00 9/22/16, 98, 1
14:00:00 9/22/16, 94, 2
15:00:00 9/22/16, 10, 31
16:00:00 9/22/16, 98, 1
17:00:00 9/22/16, 99, 3
18:00:00 9/22/16, 10, 63
19:00:00 9/22/16, 10, 33
20:00:00 9/22/16, 98, 4
21:00:00 9/22/16, 90, 3
22:00:00 9/22/16, 87, 6
23:00:00 9/22/16, 74, 5
